,stateName,offenseName,offenseCount,Year
0,Hawaii,aggravated-assault,1307,2018
1,Hawaii,aggravated-assault,1343,2019
2,Hawaii,aggravated-assault,1307,2020
3,Hawaii,aggravated-assault,1418,2021
4,Hawaii,all-other-larceny,8343,2018
5,Hawaii,all-other-larceny,8258,2019
6,Hawaii,all-other-larceny,6124,2020
7,Hawaii,all-other-larceny,6320,2021
8,Hawaii,animal-cruelty,51,2018
9,Hawaii,animal-cruelty,51,2019
10,Hawaii,animal-cruelty,46,2020
11,Hawaii,animal-cruelty,49,2021
12,Hawaii,arson,258,2018
13,Hawaii,arson,272,2019
14,Hawaii,arson,319,2020
15,Hawaii,arson,325,2021
16,Hawaii,assisting-or-promoting-prostitution,13,2018
17,Hawaii,assisting-or-promoting-prostitution,7,2019
18,Hawaii,assisting-or-promoting-prostitution,2,2021
19,Hawaii,bribery,1,2018
20,Hawaii,bribery,1,2019
21,Hawaii,bribery,2,2020
22,Hawaii,bribery,2,2021
23,Hawaii,burglary-breaking-and-entering,3616,2018
24,Hawaii,burglary-breaking-and-entering,3912,2019
25,Hawaii,burglary-breaking-and-entering,3301,2020
26,Hawaii,burglary-breaking-and-entering,3463,2021
27,Hawaii,counterfeiting-forgery,697,2018
28,Hawaii,counterfeiting-forgery,551,2019
29,Hawaii,counterfeiting-forgery,417,2020
30,Hawaii,counterfeiting-forgery,395,2021
31,Hawaii,credit-card-automated-teller-machine-fraud,1971,2018
32,Hawaii,credit-card-automated-teller-machine-fraud,1987,2019
33,Hawaii,credit-card-automated-teller-machine-fraud,1639,2020
34,Hawaii,credit-card-automated-teller-machine-fraud,1736,2021
35,Hawaii,destruction-damage-vandalism-of-property,804,2018
36,Hawaii,destruction-damage-vandalism-of-property,940,2019
37,Hawaii,destruction-damage-vandalism-of-property,949,2020
38,Hawaii,destruction-damage-vandalism-of-property,1053,2021
39,Hawaii,drug-equipment-violations,178,2018
40,Hawaii,drug-equipment-violations,159,2019
41,Hawaii,drug-equipment-violations,190,2020
42,Hawaii,drug-equipment-violations,135,2021
43,Hawaii,drug-violations,2447,2018
44,Hawaii,drug-violations,2453,2019
45,Hawaii,drug-violations,2210,2020
46,Hawaii,drug-violations,2002,2021
47,Hawaii,embezzlement,114,2018
48,Hawaii,embezzlement,97,2019
49,Hawaii,embezzlement,32,2020
50,Hawaii,embezzlement,29,2021
51,Hawaii,extortion-blackmail,87,2018
52,Hawaii,extortion-blackmail,47,2019
53,Hawaii,extortion-blackmail,134,2020
54,Hawaii,extortion-blackmail,113,2021
55,Hawaii,false-pretenses-swindle-confidence-game,1556,2018
56,Hawaii,false-pretenses-swindle-confidence-game,1735,2019
57,Hawaii,false-pretenses-swindle-confidence-game,1434,2020
58,Hawaii,false-pretenses-swindle-confidence-game,1352,2021
59,Hawaii,fondling,498,2018
60,Hawaii,fondling,497,2019
61,Hawaii,fondling,294,2020
62,Hawaii,fondling,323,2021
63,Hawaii,gambling-equipment-violation,103,2018
64,Hawaii,gambling-equipment-violation,126,2019
65,Hawaii,gambling-equipment-violation,133,2020
66,Hawaii,gambling-equipment-violation,123,2021
67,Hawaii,hacking-computer-invasion,37,2018
68,Hawaii,hacking-computer-invasion,57,2019
69,Hawaii,hacking-computer-invasion,96,2020
70,Hawaii,hacking-computer-invasion,74,2021
71,Hawaii,human-trafficking-commerical-sex-acts,3,2018
72,Hawaii,human-trafficking-commerical-sex-acts,2,2019
73,Hawaii,human-trafficking-commerical-sex-acts,10,2020
74,Hawaii,human-trafficking-commerical-sex-acts,5,2021
75,Hawaii,identity-theft,516,2018
76,Hawaii,identity-theft,512,2019
77,Hawaii,identity-theft,543,2020
78,Hawaii,identity-theft,651,2021
79,Hawaii,impersonation,51,2018
80,Hawaii,impersonation,77,2019
81,Hawaii,impersonation,102,2020
82,Hawaii,impersonation,69,2021
83,Hawaii,incest,1,2019
84,Hawaii,intimidation,1468,2018
85,Hawaii,intimidation,1419,2019
86,Hawaii,intimidation,1331,2020
87,Hawaii,intimidation,1932,2021
88,Hawaii,justifiable-homicide,6,2018
89,Hawaii,justifiable-homicide,1,2019
90,Hawaii,justifiable-homicide,1,2020
91,Hawaii,justifiable-homicide,2,2021
92,Hawaii,kidnapping-abduction,312,2018
93,Hawaii,kidnapping-abduction,293,2019
94,Hawaii,kidnapping-abduction,323,2020
95,Hawaii,kidnapping-abduction,295,2021
96,Hawaii,motor-vehicle-theft,4256,2018
97,Hawaii,motor-vehicle-theft,4071,2019
98,Hawaii,motor-vehicle-theft,4081,2020
99,Hawaii,motor-vehicle-theft,4286,2021
100,Hawaii,murder-and-nonnegligent-manslaughter,25,2018
101,Hawaii,murder-and-nonnegligent-manslaughter,25,2019
102,Hawaii,murder-and-nonnegligent-manslaughter,22,2020
103,Hawaii,murder-and-nonnegligent-manslaughter,6,2021
104,Hawaii,negligent-manslaughter,1,2019
105,Hawaii,negligent-manslaughter,2,2020
106,Hawaii,operating-promoting-assiting-gambling,128,2018
107,Hawaii,operating-promoting-assiting-gambling,196,2019
108,Hawaii,operating-promoting-assiting-gambling,180,2020
109,Hawaii,operating-promoting-assiting-gambling,206,2021
110,Hawaii,pocket-picking,277,2018
111,Hawaii,pocket-picking,293,2019
112,Hawaii,pocket-picking,181,2020
113,Hawaii,pocket-picking,232,2021
114,Hawaii,pornography-obscence-material,29,2018
115,Hawaii,pornography-obscence-material,63,2019
116,Hawaii,pornography-obscence-material,60,2020
117,Hawaii,pornography-obscence-material,81,2021
118,Hawaii,prostitution,81,2018
119,Hawaii,prostitution,34,2019
120,Hawaii,prostitution,5,2020
121,Hawaii,prostitution,4,2021
122,Hawaii,purchasing-prostitution,14,2018
123,Hawaii,purchasing-prostitution,37,2019
124,Hawaii,purchasing-prostitution,35,2020
125,Hawaii,purchasing-prostitution,25,2021
126,Hawaii,purse-snatching,265,2018
127,Hawaii,purse-snatching,283,2019
128,Hawaii,purse-snatching,217,2020
129,Hawaii,purse-snatching,172,2021
130,Hawaii,rape,241,2018
131,Hawaii,rape,269,2019
132,Hawaii,rape,233,2020
133,Hawaii,rape,202,2021
134,Hawaii,robbery,810,2018
135,Hawaii,robbery,958,2019
136,Hawaii,robbery,743,2020
137,Hawaii,robbery,734,2021
138,Hawaii,sexual-assult-with-an-object,84,2018
139,Hawaii,sexual-assult-with-an-object,70,2019
140,Hawaii,sexual-assult-with-an-object,55,2020
141,Hawaii,sexual-assult-with-an-object,49,2021
142,Hawaii,sex-offenses-non-forcible,1,2019
143,Hawaii,sex-offenses-non-forcible,55,2018
144,Hawaii,sex-offenses-non-forcible,35,2019
145,Hawaii,sex-offenses-non-forcible,11,2020
146,Hawaii,sex-offenses-non-forcible,15,2021
147,Hawaii,shoplifting,3172,2018
148,Hawaii,shoplifting,3148,2019
149,Hawaii,shoplifting,2112,2020
150,Hawaii,shoplifting,1969,2021
151,Hawaii,simple-assault,6305,2018
152,Hawaii,simple-assault,6803,2019
153,Hawaii,simple-assault,5720,2020
154,Hawaii,simple-assault,7357,2021
155,Hawaii,sodomy,80,2018
156,Hawaii,sodomy,68,2019
157,Hawaii,sodomy,67,2020
158,Hawaii,sodomy,57,2021
159,Hawaii,statutory-rape,55,2018
160,Hawaii,statutory-rape,35,2019
161,Hawaii,statutory-rape,11,2020
162,Hawaii,statutory-rape,15,2021
163,Hawaii,stolen-property-offenses,900,2018
164,Hawaii,stolen-property-offenses,852,2019
165,Hawaii,stolen-property-offenses,760,2020
166,Hawaii,stolen-property-offenses,744,2021
167,Hawaii,theft-from-building,1264,2018
168,Hawaii,theft-from-building,1215,2019
169,Hawaii,theft-from-building,945,2020
170,Hawaii,theft-from-building,935,2021
171,Hawaii,theft-from-coin-operated-machine-or-device,35,2018
172,Hawaii,theft-from-coin-operated-machine-or-device,38,2019
173,Hawaii,theft-from-coin-operated-machine-or-device,36,2020
174,Hawaii,theft-from-coin-operated-machine-or-device,40,2021
175,Hawaii,theft-from-motor-vehicle,7229,2018
176,Hawaii,theft-from-motor-vehicle,7720,2019
177,Hawaii,theft-from-motor-vehicle,6913,2020
178,Hawaii,theft-from-motor-vehicle,6871,2021
179,Hawaii,theft-of-motor-vehicle-parts-or-accessories,921,2018
180,Hawaii,theft-of-motor-vehicle-parts-or-accessories,1110,2019
181,Hawaii,theft-of-motor-vehicle-parts-or-accessories,1710,2020
182,Hawaii,theft-of-motor-vehicle-parts-or-accessories,3525,2021
183,Hawaii,theft-from-motor-vehicle,7229,2018
184,Hawaii,theft-from-motor-vehicle,7720,2019
185,Hawaii,theft-from-motor-vehicle,6913,2020
186,Hawaii,theft-from-motor-vehicle,6871,2021
187,Hawaii,weapon-law-violation,355,2018
188,Hawaii,weapon-law-violation,390,2019
189,Hawaii,weapon-law-violation,421,2020
190,Hawaii,weapon-law-violation,392,2021
191,Hawaii,welfare-fraud,3,2021
192,Hawaii,wire-fraud,137,2018
193,Hawaii,wire-fraud,210,2019
194,Hawaii,wire-fraud,277,2020
195,Hawaii,wire-fraud,285,2021
196,Delaware,aggravated-assault,3357,2001
197,Delaware,aggravated-assault,3400,2002
198,Delaware,aggravated-assault,3818,2003
199,Delaware,aggravated-assault,3460,2004
200,Delaware,aggravated-assault,3810,2005
201,Delaware,aggravated-assault,3864,2006
202,Delaware,aggravated-assault,4101,2007
203,Delaware,aggravated-assault,4054,2008
204,Delaware,aggravated-assault,3765,2009
205,Delaware,aggravated-assault,3544,2010
206,Delaware,aggravated-assault,3382,2011
207,Delaware,aggravated-assault,3409,2012
208,Delaware,aggravated-assault,3067,2013
209,Delaware,aggravated-assault,2968,2014
210,Delaware,aggravated-assault,3225,2015
211,Delaware,aggravated-assault,3245,2016
212,Delaware,aggravated-assault,2977,2017
213,Delaware,aggravated-assault,2903,2018
214,Delaware,aggravated-assault,3020,2019
215,Delaware,aggravated-assault,3328,2020
216,Delaware,aggravated-assault,3254,2021
217,Delaware,all-other-larceny,3403,2001
218,Delaware,all-other-larceny,3272,2002
219,Delaware,all-other-larceny,3242,2003
220,Delaware,all-other-larceny,3370,2004
221,Delaware,all-other-larceny,3270,2005
222,Delaware,all-other-larceny,3539,2006
223,Delaware,all-other-larceny,3561,2007
224,Delaware,all-other-larceny,4018,2008
225,Delaware,all-other-larceny,3175,2009
226,Delaware,all-other-larceny,3664,2010
227,Delaware,all-other-larceny,4133,2011
228,Delaware,all-other-larceny,4073,2012
229,Delaware,all-other-larceny,3819,2013
230,Delaware,all-other-larceny,3463,2014
231,Delaware,all-other-larceny,3096,2015
232,Delaware,all-other-larceny,2677,2016
233,Delaware,all-other-larceny,2715,2017
234,Delaware,all-other-larceny,2591,2018
235,Delaware,all-other-larceny,2873,2019
236,Delaware,all-other-larceny,2408,2020
237,Delaware,all-other-larceny,2299,2021
238,Delaware,animal-cruelty,22,2015
239,Delaware,animal-cruelty,508,2016
240,Delaware,animal-cruelty,924,2017
241,Delaware,animal-cruelty,1096,2018
242,Delaware,animal-cruelty,1297,2019
243,Delaware,animal-cruelty,1154,2020
244,Delaware,animal-cruelty,1280,2021
245,Delaware,arson,434,2001
246,Delaware,arson,342,2002
247,Delaware,arson,365,2003
248,Delaware,arson,366,2004
249,Delaware,arson,385,2005
250,Delaware,arson,384,2006
251,Delaware,arson,312,2007
252,Delaware,arson,362,2008
253,Delaware,arson,308,2009
254,Delaware,arson,301,2010
255,Delaware,arson,292,2011
256,Delaware,arson,226,2012
257,Delaware,arson,185,2013
258,Delaware,arson,214,2014
259,Delaware,arson,161,2015
260,Delaware,arson,180,2016
261,Delaware,arson,138,2017
262,Delaware,arson,137,2018
263,Delaware,arson,129,2019
264,Delaware,arson,138,2020
265,Delaware,arson,155,2021
266,Delaware,assisting-or-promoting-prostitution,132,2001
267,Delaware,assisting-or-promoting-prostitution,93,2002
268,Delaware,assisting-or-promoting-prostitution,109,2003
269,Delaware,assisting-or-promoting-prostitution,85,2004
270,Delaware,assisting-or-promoting-prostitution,85,2005
271,Delaware,assisting-or-promoting-prostitution,66,2006
272,Delaware,assisting-or-promoting-prostitution,79,2007
273,Delaware,assisting-or-promoting-prostitution,55,2008
274,Delaware,assisting-or-promoting-prostitution,30,2009
275,Delaware,assisting-or-promoting-prostitution,16,2010
276,Delaware,assisting-or-promoting-prostitution,26,2011
277,Delaware,assisting-or-promoting-prostitution,26,2012
278,Delaware,assisting-or-promoting-prostitution,17,2013
279,Delaware,assisting-or-promoting-prostitution,7,2014
280,Delaware,assisting-or-promoting-prostitution,7,2015
281,Delaware,assisting-or-promoting-prostitution,9,2016
282,Delaware,assisting-or-promoting-prostitution,13,2017
283,Delaware,assisting-or-promoting-prostitution,12,2018
284,Delaware,assisting-or-promoting-prostitution,6,2019
285,Delaware,assisting-or-promoting-prostitution,3,2020
286,Delaware,assisting-or-promoting-prostitution,4,2021
287,Delaware,betting,5,2002
288,Delaware,betting,2,2003
289,Delaware,betting,6,2004
290,Delaware,betting,6,2005
291,Delaware,betting,8,2006
292,Delaware,betting,4,2007
293,Delaware,betting,5,2008
294,Delaware,betting,7,2009
295,Delaware,betting,9,2010
296,Delaware,betting,5,2011
297,Delaware,betting,3,2012
298,Delaware,betting,3,2013
299,Delaware,betting,5,2014
300,Delaware,betting,3,2015
301,Delaware,betting,4,2016
302,Delaware,betting,34,2017
303,Delaware,betting,29,2018
304,Delaware,betting,36,2019
305,Delaware,betting,27,2020
306,Delaware,betting,35,2021
307,Delaware,bribery,3,2004
308,Delaware,bribery,4,2005
309,Delaware,bribery,5,2006
310,Delaware,bribery,8,2007
311,Delaware,bribery,2,2008
312,Delaware,bribery,5,2009
313,Delaware,bribery,3,2010
314,Delaware,bribery,9,2011
315,Delaware,bribery,8,2012
316,Delaware,bribery,7,2013
317,Delaware,bribery,1,2014
318,Delaware,bribery,1,2016
319,Delaware,bribery,3,2017
320,Delaware,bribery,4,2018
321,Delaware,bribery,5,2019
322,Delaware,bribery,1,2020
323,Delaware,bribery,5,2021
324,Delaware,burglary-breaking-and-entering,5342,2001
325,Delaware,burglary-breaking-and-entering,5630,2002
326,Delaware,burglary-breaking-and-entering,6175,2003
327,Delaware,burglary-breaking-and-entering,5803,2004
328,Delaware,burglary-breaking-and-entering,6070,2005
329,Delaware,burglary-breaking-and-entering,6559,2006
330,Delaware,burglary-breaking-and-entering,6604,2007
331,Delaware,burglary-breaking-and-entering,6951,2008
332,Delaware,burglary-breaking-and-entering,7152,2009
333,Delaware,burglary-breaking-and-entering,7718,2010
334,Delaware,burglary-breaking-and-entering,7784,2011
335,Delaware,burglary-breaking-and-entering,7526,2012
336,Delaware,burglary-breaking-and-entering,6352,2013
337,Delaware,burglary-breaking-and-entering,5839,2014
338,Delaware,burglary-breaking-and-entering,4834,2015
339,Delaware,burglary-breaking-and-entering,5064,2016
340,Delaware,burglary-breaking-and-entering,3890,2017
341,Delaware,burglary-breaking-and-entering,3232,2018
342,Delaware,burglary-breaking-and-entering,3070,2019
343,Delaware,burglary-breaking-and-entering,2572,2020
344,Delaware,burglary-breaking-and-entering,2371,2021
345,Delaware,counterfeiting-forgery,1009,2001
346,Delaware,counterfeiting-forgery,956,2002
347,Delaware,counterfeiting-forgery,1069,2003
348,Delaware,counterfeiting-forgery,1118,2004
349,Delaware,counterfeiting-forgery,1228,2005
350,Delaware,counterfeiting-forgery,1320,2006
351,Delaware,counterfeiting-forgery,1223,2007
352,Delaware,counterfeiting-forgery,1196,2008
353,Delaware,counterfeiting-forgery,1100,2009
354,Delaware,counterfeiting-forgery,994,2010
355,Delaware,counterfeiting-forgery,1257,2011
356,Delaware,counterfeiting-forgery,1049,2012
357,Delaware,counterfeiting-forgery,896,2013
358,Delaware,counterfeiting-forgery,768,2014
359,Delaware,counterfeiting-forgery,713,2015
360,Delaware,counterfeiting-forgery,680,2016
361,Delaware,counterfeiting-forgery,672,2017
362,Delaware,counterfeiting-forgery,547,2018
363,Delaware,counterfeiting-forgery,591,2019
364,Delaware,counterfeiting-forgery,427,2020
365,Delaware,counterfeiting-forgery,389,2021
366,Delaware,credit-card-automated-teller-machine-fraud,502,2001
367,Delaware,credit-card-automated-teller-machine-fraud,443,2002
368,Delaware,credit-card-automated-teller-machine-fraud,628,2003
369,Delaware,credit-card-automated-teller-machine-fraud,520,2004
370,Delaware,credit-card-automated-teller-machine-fraud,622,2005
371,Delaware,credit-card-automated-teller-machine-fraud,816,2006
372,Delaware,credit-card-automated-teller-machine-fraud,1007,2007
373,Delaware,credit-card-automated-teller-machine-fraud,1073,2008
374,Delaware,credit-card-automated-teller-machine-fraud,1102,2009
375,Delaware,credit-card-automated-teller-machine-fraud,1115,2010
376,Delaware,credit-card-automated-teller-machine-fraud,1294,2011
377,Delaware,credit-card-automated-teller-machine-fraud,1284,2012
378,Delaware,credit-card-automated-teller-machine-fraud,1236,2013
379,Delaware,credit-card-automated-teller-machine-fraud,1474,2014
380,Delaware,credit-card-automated-teller-machine-fraud,1263,2015
381,Delaware,credit-card-automated-teller-machine-fraud,1382,2016
382,Delaware,credit-card-automated-teller-machine-fraud,1113,2017
383,Delaware,credit-card-automated-teller-machine-fraud,1087,2018
384,Delaware,credit-card-automated-teller-machine-fraud,1086,2019
385,Delaware,credit-card-automated-teller-machine-fraud,1033,2020
386,Delaware,credit-card-automated-teller-machine-fraud,969,2021
387,Delaware,destruction-damage-vandalism-of-property,20463,2001
388,Delaware,destruction-damage-vandalism-of-property,20080,2002
389,Delaware,destruction-damage-vandalism-of-property,20402,2003
390,Delaware,destruction-damage-vandalism-of-property,19517,2004
391,Delaware,destruction-damage-vandalism-of-property,19443,2005
392,Delaware,destruction-damage-vandalism-of-property,22140,2006
393,Delaware,destruction-damage-vandalism-of-property,21353,2007
394,Delaware,destruction-damage-vandalism-of-property,21097,2008
395,Delaware,destruction-damage-vandalism-of-property,19476,2009
396,Delaware,destruction-damage-vandalism-of-property,18623,2010
397,Delaware,destruction-damage-vandalism-of-property,17401,2011
398,Delaware,destruction-damage-vandalism-of-property,16307,2012
399,Delaware,destruction-damage-vandalism-of-property,13854,2013
400,Delaware,destruction-damage-vandalism-of-property,13024,2014
401,Delaware,destruction-damage-vandalism-of-property,11801,2015
402,Delaware,destruction-damage-vandalism-of-property,12083,2016
403,Delaware,destruction-damage-vandalism-of-property,10878,2017
404,Delaware,destruction-damage-vandalism-of-property,10048,2018
405,Delaware,destruction-damage-vandalism-of-property,9300,2019
406,Delaware,destruction-damage-vandalism-of-property,9085,2020
407,Delaware,destruction-damage-vandalism-of-property,9217,2021
408,Delaware,drug-equipment-violations,2812,2001
409,Delaware,drug-equipment-violations,2684,2002
410,Delaware,drug-equipment-violations,3180,2003
411,Delaware,drug-equipment-violations,3208,2004
412,Delaware,drug-equipment-violations,4025,2005
413,Delaware,drug-equipment-violations,4708,2006
414,Delaware,drug-equipment-violations,4704,2007
415,Delaware,drug-equipment-violations,4531,2008
416,Delaware,drug-equipment-violations,4307,2009
417,Delaware,drug-equipment-violations,3971,2010
418,Delaware,drug-equipment-violations,4042,2011
419,Delaware,drug-equipment-violations,4135,2012
420,Delaware,drug-equipment-violations,4816,2013
421,Delaware,drug-equipment-violations,5080,2014
422,Delaware,drug-equipment-violations,4856,2015
423,Delaware,drug-equipment-violations,3761,2016
424,Delaware,drug-equipment-violations,3565,2017
425,Delaware,drug-equipment-violations,3143,2018
426,Delaware,drug-equipment-violations,3683,2019
427,Delaware,drug-equipment-violations,2738,2020
428,Delaware,drug-equipment-violations,2774,2021
429,Delaware,drug-violations,4409,2001
430,Delaware,drug-violations,4212,2002
431,Delaware,drug-violations,4839,2003
432,Delaware,drug-violations,4565,2004
433,Delaware,drug-violations,5767,2005
434,Delaware,drug-violations,6281,2006
435,Delaware,drug-violations,6260,2007
436,Delaware,drug-violations,6202,2008
437,Delaware,drug-violations,6051,2009
438,Delaware,drug-violations,5634,2010
439,Delaware,drug-violations,5801,2011
440,Delaware,drug-violations,5730,2012
441,Delaware,drug-violations,6690,2013
442,Delaware,drug-violations,6893,2014
443,Delaware,drug-violations,6647,2015
444,Delaware,drug-violations,7091,2016
445,Delaware,drug-violations,8046,2017
446,Delaware,drug-violations,8771,2018
447,Delaware,drug-violations,9483,2019
448,Delaware,drug-violations,6693,2020
449,Delaware,drug-violations,6128,2021
450,Delaware,embezzlement,506,2001
451,Delaware,embezzlement,419,2002
452,Delaware,embezzlement,387,2003
453,Delaware,embezzlement,353,2004
454,Delaware,embezzlement,428,2005
455,Delaware,embezzlement,427,2006
456,Delaware,embezzlement,498,2007
457,Delaware,embezzlement,476,2008
458,Delaware,embezzlement,369,2009
459,Delaware,embezzlement,299,2010
460,Delaware,embezzlement,328,2011
461,Delaware,embezzlement,321,2012
462,Delaware,embezzlement,297,2013
463,Delaware,embezzlement,306,2014
464,Delaware,embezzlement,335,2015
465,Delaware,embezzlement,297,2016
466,Delaware,embezzlement,297,2017
467,Delaware,embezzlement,257,2018
468,Delaware,embezzlement,249,2019
469,Delaware,embezzlement,150,2020
470,Delaware,embezzlement,116,2021
471,Delaware,extortion-blackmail,8,2001
472,Delaware,extortion-blackmail,7,2002
473,Delaware,extortion-blackmail,3,2003
474,Delaware,extortion-blackmail,12,2004
475,Delaware,extortion-blackmail,19,2005
476,Delaware,extortion-blackmail,14,2006
477,Delaware,extortion-blackmail,15,2007
478,Delaware,extortion-blackmail,21,2008
479,Delaware,extortion-blackmail,18,2009
480,Delaware,extortion-blackmail,15,2010
481,Delaware,extortion-blackmail,25,2011
482,Delaware,extortion-blackmail,12,2012
483,Delaware,extortion-blackmail,20,2013
484,Delaware,extortion-blackmail,26,2014
485,Delaware,extortion-blackmail,19,2015
486,Delaware,extortion-blackmail,26,2016
487,Delaware,extortion-blackmail,32,2017
488,Delaware,extortion-blackmail,62,2018
489,Delaware,extortion-blackmail,46,2019
490,Delaware,extortion-blackmail,74,2020
491,Delaware,extortion-blackmail,64,2021
492,Delaware,false-pretenses-swindle-confidence-game,1849,2001
493,Delaware,false-pretenses-swindle-confidence-game,1915,2002
494,Delaware,false-pretenses-swindle-confidence-game,2055,2003
495,Delaware,false-pretenses-swindle-confidence-game,2003,2004
496,Delaware,false-pretenses-swindle-confidence-game,2458,2005
497,Delaware,false-pretenses-swindle-confidence-game,2582,2006
498,Delaware,false-pretenses-swindle-confidence-game,2432,2007
499,Delaware,false-pretenses-swindle-confidence-game,2431,2008
500,Delaware,false-pretenses-swindle-confidence-game,2221,2009
